兴安盟	xinganmeng
平度	pingdu
营口	yingkou
昌吉	changji
池州	chizhou
呼和浩特	huhehaote
上饶	shangrao
黑河	heihe
贵港	guigang
黔西南	qianxinan
白山	baishan
聊城	liaocheng
大兴安岭	daxinganling
连云港	lianyungang
郑州	zhengzhou
漯河	luohe
湖州	huzhou
文山	wenshan
昆山	kunshan
银川	yinchuan
遵义	zunyi
丽江	lijiang
佛山	foshan
保定	baoding
湘潭	xiangtan
清远	gdqingyuan
那曲	naqu
陇南	longnan
贺州	hezhou
舟山	zhoushan
临沧	lincang
莱西	laixi
昌都	changdu
十堰	shiyan
吐鲁番	tulufan
潮州	chaozhou
阿克苏	akesu
德宏	dehong
徐州	xuzhou
常德	changde
南通	nantong
阿坝	aba
德阳	deyang
济宁	sdjining
恩施	enshi
盘锦	panjin
保山	baoshan
阿里	ali
锦州	jinzhou
阳泉	yangquan
张家界	zhangjiajie
宜宾	yibin
大理	dali
邵阳	shaoyang
南京	nanjing
铜川	tongchuan
阜阳	fuyang
哈尔滨	haerbin
西宁	xining
宣城	xuancheng
三门峡	sanmenxia
江阴	jiangyin
吴忠	wuzhong
鄂州	ezhou
东莞	dongguang
葫芦岛	huludao
海北	haibei
漳州	zhangzhou
厦门	xiamen
抚州	fuzhou
齐齐哈尔	qiqihaer
莱芜	laiwu
即墨	jimo
邢台	xingtai
芜湖	wuhu
湘西	xiangxi
迪庆	diqing
延边	yanbian
哈密	hami
海西	haixi
达州	dazhou
镇江	zhenjiang
惠州	huizhou
昆明	kunming
济南	jinan
汕头	shantou
忻州	xinzhou
平凉	pingliang
烟台	yantai
庆阳	gsqingyang
果洛	guolv
海南	hainan
吉安	jian
凉山	liangshan
绥化	suihua
日喀则	rikaze
长春	changchun
黔东南	qiandongnan
安顺	anshun
林芝	linzhi
张掖	zhangye
自贡	zigong
瓦房店	wafangdian
甘南	hljgannan
武威	wuwei
淮北	huaibei
胶州	jiaozhou
开封	kaifeng
赣州	ganzhou
新乡	xinxiang
大庆	daqing
青岛	qingdao
朝阳	chaoyang
大同	datong
宜昌	yichang
巴彦淖尔	bayannaoer
威海	weihai
鸡西	jixi
常州	changzhou
楚雄	chuxiong
信阳	xinyang
铜陵	tongling
本溪	benxi
沈阳	shenyang
运城	sxyuncheng
晋城	jincheng
渭南	weinan
丽水	lishui
泰州	jstaizhou
许昌	xuchang
钦州	gxqinzhou
石河子	shihezi
库尔勒	kuerle
绍兴	shaoxing
廊坊	langfang
柳州	liuzhou
广元	guangyuan
邯郸	handan
肇庆	zhaoqing
咸宁	xianning
五家渠	wujiaqu
鹰潭	yingtan
潍坊	weifang
佳木斯	jiamusi
衡水	hengshui
焦作	jiaozuo
金坛	jintan
揭阳	jieyang
上海	shanghai
喀什	kashi
咸阳	xianyang
重庆	chongqing
和田	hetian
眉山	meishan
淄博	zibo
阳江	yangjiang
溧阳	liyang
山南	shannan
塔城	tacheng
抚顺	fushun
乌海	wuhai
章丘	zhangqiu
吕梁	lvliang
长沙	changsha
黄山	huangshan
北京	beijing
云浮	yunfu
绵阳	mianyang
富阳	zjfuyang
辽阳	liaoyang
太仓	taicang
宝鸡	baoji
定西	dingxi
三亚	sanya
锡林郭勒	xilinguole
石家庄	shijiazhuang
红河	honghe
平顶山	pingdingshan
南昌	nanchang
韶关	shaoguan
招远	sdzhaoyuan
洛阳	lvyang
怒江	nujiang
义乌	yiwu
白银	baiyin
金昌	jinchang
雅安	yaan
攀枝花	panzhihua
蓬莱	penglai
黔南	qiannan
沧州	cangzhou
盐城	yancheng
益阳	yiyang
临夏	linxia
常熟	changshu
荣成	sdrongcheng
南宁	nanning
西双版纳	xishuangbanna
安庆	anqing
松原	songyuan
枣庄	zaozhuang
海口	haikou
阿勒泰	aletai
东营	dongying
牡丹江	mudanjiang
随州	suizhou
曲靖	qujing
张家港	zhangjiagang
南平	nanping
阿拉善盟	alashanmeng
嘉峪关	jiayuguan
铁岭	tieling
淮安	huaian
乳山	rushan
衡阳	hengyang
玉林	guangxiyulin
六盘水	liupanshui
七台河	qitaihe
孝感	xiaogan
湛江	zhanjiang
苏州	suzhou
江门	jiangmen
赤峰	chifeng
九江	jiujiang
中卫	zhongwei
承德	chengde
四平	siping
茂名	maoming
鹤岗	hegang
朔州	shuozhou
台州	taizhou
